date,description,amount
2026-03-01,Salary Credit,55000
2026-03-02,Swiggy Order,-450
2026-03-03,Uber Ride,-220
2026-03-05,Amazon Shopping,-3200
2026-03-08,Electricity Bill,-1800
2026-03-10,Netflix Subscription,-499
2026-03-15,Zomato Order,-600
2026-03-18,Flipkart Shopping,-2500
2026-03-20,Petrol,-1500
2026-03-25,Movie Tickets,-800
2026-04-01,Salary Credit,55000
2026-04-02,Swiggy Order,-500
2026-04-04,Ola Ride,-300
2026-04-06,Amazon Shopping,-1200
2026-04-08,Electricity Bill,-1900
2026-04-12,Broadband Bill,-1000
2026-04-15,Zomato Order,-9500
2026-04-18,Myntra Shopping,-2200
2026-04-22,Spotify Subscription,-119
2026-04-28,Fuel,-1600
2026-05-01,Salary Credit,55000
2026-05-03,Swiggy Order,-480
2026-05-05,Uber Ride,-250
2026-05-07,Amazon Shopping,-2800
2026-05-09,Electricity Bill,-2000
2026-05-14,Netflix Subscription,-499
2026-05-17,Restaurant Dinner,-1400
2026-05-21,Flipkart Shopping,-1900
2026-05-26,BookMyShow Movie,-700
